RacketId;Prezzo;Sesso;ImageLink;ColoreUno;ColoreDue;Profilo;Lunghezza;Peso;NumeroArticolo;PuntoDiEquilibrio;TipoDiGioco;TipoDiProdotto;Telaio;Nucleo;LivelloDiGioco;Forma;Eta;Bilanciamento;Anno;Url;Marca;Modello;VecchioPrezzo
661;174,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-17108-431fb53d-16907-NORMAL.jpg;blu;NULL;0;NULL;NULL;NULL;0;" POTENZA";NULL;" CARBONIO";" GOMMA EVA ULTRA SOFT";" AVANZATO";" DIAMANTE";NULL;" ALTO";" 2019                                                    ";https://www.padelnuestro.com/it/akkeron-argento-r-x9-p-16907.html;akkeron;NULL;250
662;174,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-19969-08a13068-20649-NORMAL.jpg;nero;NULL;0;NULL;NULL;NULL;0;" POTENZA";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" DIAMANTE";NULL;" ALTO";" 2019                                                    ";https://www.padelnuestro.com/it/softee-potenza-black-edition-p-20649.html;softee;NULL;250
663;174,72;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-25407-a3a5b0a6-26418-NORMAL.jpg;nero;rosso;0;NULL;NULL;NULL;0;" POTENZA";NULL;" CARBONIO";" GOMMA EVA DURA";" AVANZATO";" DIAMANTE";NULL;" ALTO";" 2022                                                    ";https://www.padelnuestro.com/it/nox-nerbo-wpt-luxury-series-2022-p-26418.html;nox;NULL;350
664;173,49;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-26391-0dfcbc36-28502-NORMAL.jpg;nero;NULL;0;NULL;NULL;NULL;0;" POTENZA";NULL;" FIBRA DI CARBONIO";" GOMMA EVA";" AVANZATO";" HIBRIDA";NULL;" ALTO";" 2022                                                    ";https://www.padelnuestro.com/it/dunlop-galactica-pro-2022-p-28502.html;dunlop;NULL;289,95
665;170,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-19750-c5b6c4d5-20422-NORMAL.jpg;nero;rosso;0;NULL;NULL;NULL;0;" POTENZA / POTENZA ";NULL;" CARBONIO";" GOMMA EVA ULTRA SOFT";" AVANZATO";" LACRIMA";NULL;" ALTO";" 2020                                                    ";https://www.padelnuestro.com/it/vibor-a-king-cobra-black-1k-p-20422.html;vibor-a;NULL;435
666;169,95;Donna;https://www.padelnuestro.com/images/cargador/productos/imagen-1-31588-39d0e30c-32396-NORMAL.jpg;bianco;rosa;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" FIBRA DI CARBONIO";" ";" AVANZATO";" ROTONDA";NULL;" BASSO                                                    ";NULL;https://www.padelnuestro.com/it/nox-equation-wpt-advanced-series-donna-p-32396.html;nox;NULL;0
667;169,95;NULL;https://www.padelnuestro.com/images/products/RK6CH9-U42-OFP-800-1000.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/adidas-essex-ctrl-black-white-p-32860.html;adidas;NULL;300
668;169,95;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-29986-67b1902e-30172-NORMAL.jpg;nero;dorato;0;NULL;NULL;NULL;0;" POTENZA";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" DIAMANTE";NULL;" ALTO";" 2022                                                    ";https://www.padelnuestro.com/it/adidas-essex-attk-black-gold-2021-p-30172.html;adidas;NULL;300
669;169;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-27945-80abda3e-28651-NORMAL.jpg;blu;NULL;0;NULL;NULL;NULL;0;" POTENZA";NULL;" FIBRA DI CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" DIAMANTE";NULL;" ALTO";" 2022                                                    ";https://www.padelnuestro.com/it/wilson-ultra-elite-v2-padel-p-28651.html;wilson;NULL;190
670;169;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-31752-a113508b-31671-NORMAL.jpg;nero;verde;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" HIBRIDA";NULL;" ";" 2022                                                    ";https://www.padelnuestro.com/it/softee-runa-3k-hybrid-verde-p-31671.html;softee;NULL;188
671;169;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-21821-de5de93c-23441-NORMAL.jpg;blu;NULL;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" LACRIMA";NULL;" MEDIO";"                                                     ";https://www.padelnuestro.com/it/star-vie-triton-2021-p-23441.html;star;NULL;309,95
672;169;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-21825-016a8e1e-23430-NORMAL.jpg;nero;verde;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" ";" GOMMA EVA SUPER SOFT";" AVANZATO";" LACRIMA";NULL;" MEDIO";"                                                     ";https://www.padelnuestro.com/it/star-vie-kraken-pro-p-23430.html;star;NULL;220,9
673;169;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-31753-1388f1e8-31670-NORMAL.jpg;nero;fucsia;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" HIBRIDA";NULL;" MEDIO";" 2022                                                    ";https://www.padelnuestro.com/it/softee-runa-3k-hybrid-fucsia-p-31670.html;softee;NULL;188
